epoch,step,loss,lr,epoch_time_s,samples_per_s
1,415,0.363136,1.00e-04,100.51,528
10,4150,0.283065,9.94e-05,44.00,1207
20,8300,0.248738,9.76e-05,43.63,1217
30,12450,0.168208,9.46e-05,43.02,1234
40,16600,0.150879,9.06e-05,43.41,1223
50,20750,0.162129,8.55e-05,44.71,1187
60,24900,0.145389,7.96e-05,44.00,1207
70,29050,0.151276,7.30e-05,43.75,1213
80,33200,0.148249,6.58e-05,43.71,1215
90,37350,0.164918,5.83e-05,45.03,1179
100,41500,0.126785,5.05e-05,43.90,1210
110,45650,0.148762,4.28e-05,43.90,1209
120,49800,0.147448,3.52e-05,45.05,1179
130,53950,0.128456,2.80e-05,45.02,1179
140,58100,0.134023,2.14e-05,44.04,1206
150,62250,0.127310,1.55e-05,44.89,1183
160,66400,0.131562,1.05e-05,44.70,1188
170,70550,0.137322,6.40e-06,44.26,1200
180,74700,0.139309,3.42e-06,43.83,1211
190,78850,0.119881,1.61e-06,44.52,1193
200,83000,0.135023,1.00e-06,44.82,1185
